detail.requirements,detail.main_tasks,detail.preferred_points
"• 3년 이상의 백엔드 개발 경력을 보유하신 분.
• Python과 JavaScript(TypeScript) 프로그래밍 언어에 능숙하신 분.
• RDB 및 NoSQL에 대한 깊은 이해와 최적화 경험이 있으신 분.
• AWS의 여러 서비스를 활용한 아키텍처 설계에 능숙하신 분.
• 자기주도적이고 커뮤니케이션이 유연하신 분.","• 세무 관련 서비스의 개발과 운영을 담당합니다.
• 유연하고 안정적인 백엔드 시스템을 설계하고 개발합니다.
• 속도감 있게 서비스를 확장합니다.","• 세무 관련 실무 경험이 있으신 분.
• FastAPI, NestJS 등 백엔드 프레임워크 경험이 있으신 분.
• Restful API, GraphQL등 다양한 백엔드 API를 설계하고 개발한 경험이 있으신 분.
• 시스템 확장 과정에서 발생하는 다양한 문제를 해결해 본 경험이 있으신 분.
• B2B, B2C 서비스 운영을 경험하신 분.
• Admin 화면(Front)에 대한 유지보수 경험이 있으신 분."
"• 학력: 4년제 정규대학 이상 학위 보유(예정)자
※ 졸업 예정자의 경우 2025.08 까지 학위 취득이 가능하신 분
• 병역필 또는 면제로 해외여행에 결격 사유가 없는 분에 한하여 지원 가능합니다.
• 입사 후 3개월 간 수습기간이 적용되며, 수습기간 동안의 처우는 100% 동일합니다.
• C, C++, Verilog, Linux, FPGA, Xilinx Vivado, Vitis, Altium, Cadence
• FPGA 관련 인터페이스 및 IP 생성","• 통신 모델 보드의 모델 FPGA 프로그래밍 및 테스트 (vivado 및 vitis 함께 사용)
• 통신 모델 보드의 주변 회로 인터페이스 프로그래밍
• ASIC 을 위한 블럭 IP 코딩 등","• 석사 학위 수여자
• 유관업무 경력자 (2년 이상)
• 하만 세미콘 아카데미, IDEC 등 설계 교육 수료자"
"• 학력: 4년제 정규대학 이상 학위 보유(예정)자
※ 졸업 예정자의 경우 2025.08 까지 학위 취득이 가능하신 분
• 병역필 또는 면제로 해외여행에 결격 사유가 없는 분에 한하여 지원 가능합니다.
• 입사 후 3개월 간 수습기간이 적용되며, 수습기간 동안의 처우는 100% 동일합니다.
• C, C++, Verilog, Linux, FPGA, Xilinx Vivado, Vitis, Altium, Cadence
• FPGA 관련 인터페이스 및 IP 생성","• 통신 모델 보드의 모델 FPGA 프로그래밍 및 테스트 (vivado 및 vitis 함께 사용)
• 통신 모델 보드의 주변 회로 인터페이스 프로그래밍
• ASIC 을 위한 블럭 IP 코딩 등","• 석사 학위 수여자
• 유관업무 경력자 (2년 이상)
• 하만 세미콘 아카데미, IDEC 등 설계 교육 수료자"
"• Flutter 앱 개발 경력 2년 이상이신 분
• Firebase 기반 앱 개발 경험을 보유하신 분
• iOS 및 Android 앱 배포 경험이 있으신 분
• REST API 및 WebView에 대한 이해도가 높은 분
• Git을 활용한 협업 및 코드 리뷰 경험을 보유하신 분
• 사용자 중심의 UX 설계 역량을 갖춘 분","우리는 빠른 실행과 반복을 통해 제품의 완성도를 끌어올리고, 디자이너·기획자·백엔드 개발자와 긴밀하게 협업합니다. 코드 리뷰와 기술 공유를 통해 함께 성장하는 문화를 지향하며, AI 도구와 최신 기술을 적극 활용하고 새로운 시도를 장려합니다. 스타트업 환경에서 직접 신규 서비스를 만들어가는 과정을 즐기며, 함께 성장할 개발자를 기다리고 있습니다.

• Flutter 기반의 크로스플랫폼 앱을 개발하고 유지보수합니다
• 추천, 랭킹, 찜하기, 공유, 상점, 프로필 등 사용자 기능을 구현합니다
• Firebase를 연동하고 푸시 알림 기능을 구현합니다
• WebView 및 Unity WebGL 기반 게임 실행 기능을 개발합니다
• 디자이너·백엔드 개발자와 협업하여 UI/UX를 구현합니다
• Riverpod, BLoC 등 상태 관리 아키텍처를 설계하고 적용합니다","• 성능 최적화 및 아키텍처 설계 경험이 있는 분
• WebGL, Unity WebView 연동 경험이 있는 분
• 미니게임/캐주얼 게임 제작 경험이 있는 분
• 최신 Flutter 라이브러리(Riverpod, GoRouter 등) 사용 경험이 있는 분
• 스타트업 초기 단계에서 제품을 개발해본 경험이 있는 분
• 게임을 좋아하거나 직접 만들어본 경험이 있는 분"
"• 백엔드 및 프론트엔드 개발 경험 10년 이상 (node.js next.js nest.js)
• 보안 SaaS 제품의 콘솔 개발 및 운영 경험
• 클라우드 기반 SaaS 서비스 개발 및 운영 경험
• 사용자 인증 및 권한 관리 시스템 설계 경험
• API 설계 및 통합 경험 (REST, GraphQL, gRPC 등)
• 빌링, 인보이스, 결제 시스템 개발 및 리팩토링 경험
• 팀 리딩 경험 (8명 이상의 개발팀 관리 경험)
• AWS, GCP, Azure 등 클라우드 인프라 운영 경험
• 영어 커뮤니케이션 능력 (제품 관리자, 마케팅, 영업팀과 협업 가능 수준)","• 새로운 브랜드의 통합 콘솔 개발 및 운영 리드
• Nest.js Next.js 기반의 사이트 개발 및 운영
• 기존 java 기반의 legacy 시스템들(2개)에서 운영되는 회원 권한 관리, 가격 정책 관리 등의 기능을 Nest.js Next.js기반의 시스템으로 이관
• 회원 권한 관리, 가격 정책 관리 정책등을 기존 lagacy 시스템에서 연계할 수 있도록 구성
• 보안 SaaS 제품의 콘솔 개발 및 최적화
• 사용자 인증 및 권한 관리 시스템 설계 및 개발
• 각 제품팀이 제공하는 API 연동 및 데이터 단일화
• 분산된 빌링, 인보이스, 결제 시스템 통합 및 최적화
• 클라우드 기반 SaaS 환경에서 확장 가능한 아키텍처 설계
• 개발 리소스 70%, 팀 매니지먼트 및 협업 30% 비중으로 업무 수행
• 제품팀, 디자인팀, 운영팀과의 협업을 통해 일관된 사용자 경험 제공
• 해외 제품 관리자, 마케팅, 영업팀과의 영어 커뮤니케이션","• 멀티 테넌트 SaaS 환경에서의 개발 경험
• 마이크로서비스 아키텍처 및 서버리스 개발 경험
• DevOps 및 CI/CD 환경 구축 경험
• 보안 관련 개발 경험 (DRM, 인증, 데이터 보호 등)"
"• 백엔드 서버 개발 분야 10년 이상 실무 경험
• Java 및 Spring Framework에 대한 높은 숙련도
• AWS 서비스(EC2, S3, RDS, Lambda 등) 경험
• 마이크로서비스 아키텍처(MSA)에 대한 설계 및 개발 경험
• Apache Kafka와 같은 빅데이터 처리 도구 사용 경험
• 대규모 데이터베이스 솔루션에 대한 경험
• Docker 및 Kubernetes를 활용한 배포 파이프라인 경험
• 뛰어난 문제 해결 능력과 협업 능력
• 빠르게 변화하는 환경에서 적응력과 우수한 커뮤니케이션 능력
• 주도적이고 능동적인 업무 수행 능력
• TDD, DDD 개발 방법론 경험","1. Multi-DRM 백엔드 개발
• Widevine, FairPlay Streaming, PlayReady Multi-DRM 라이선스 발급 백엔드 시스템 유지보수 및 고도화
• 컨테이너 기반 On-Premis 서버 솔루션 설계 및 개발

2. 빅데이터 로그 처리
• 하루 1억 건 이상의 DRM 라이선스 발급 로그를 처리할 수 있는 데이터 파이프라인 설계 및 개발
• 대용량 데이터에서 유연하고 활용 가능한 통계 데이터를 추출할 시스템 설계
• 장기적인 로그 데이터 저장 및 검색 성능 최적화","• 영어 소통 능력
• 멀티미디어 콘텐츠 보안 분야 개발 경험"
"[마인드셋]
• 구성원으로서의 책임과 역할에 대해 명확하게 이해하고, 몰입을 통해 회사와 본인의 성장을 이루어내고자 하는 분
• 다양한 의견을 경청하면서도 본인만의 철학을 갖춘 코딩을 추구하시는 분
• 글로벌 서비스에 대한 관심과 열정을 보유하신 분
• 한국의 트렌드가 글로벌로 성장하는 것에 공감하고 이에 대한 관심이 많으신 분
• 스스로의 역량을 한정짓지 않고 탁월한 성과를 기반으로 급진적인 성취와 성장을 추구하시는 분
• 다양한 백그라운드의 이해관계자들과 목표 지향적인 커뮤니케이션이 가능하신 분
• 도메인에 대한 관심과 이해를 바탕으로 문제에 집중하여 통찰력 있는 해결책을 제시할 수 있는 분 
• 빠르게 변화하는 환경에 유연하게 적응하고, 실험을 두려워하지 않는 분
• 동료와의 원활한 커뮤니케이션과 지식 공유에 적극적인 분

[스킬셋]
• TypeScript로 서버 어플리케이션을 2년 이상 개발해본 경험이 있으신 분
• OOP에 대한 이해를 바탕으로 객체의 책임, 역할, 협력에 대해 고민하시는 분
• AWS / Linux 환경에서 Container 기반 인프라 구축 및 운영 경험이 있으신 분
• RDBMS / NoSQL에 대한 이해를 바탕으로 서비스 개발 및 운영 경험이 있으신 분","• 백엔드 개발 및 운영, 또는 코어팀에서 DX(Developer Experience) 향상 업무 
• 확장성과 유지보수성을 고려한 API 설계 및 관리  
• LLM(대형 언어 모델) 등 AI 기술을 활용한 PoC(Proof of Concept) 및 DX 개선 실험
• 팀원들과의 적극적인 협업 및 코드 리뷰, 기술 문서화
• Stackshare(https://stackshare.io/creatrip/backend)","• 속도 빠른 스타트업이나 애자일 조직을 경험해 보신 분 
• 성능 최적화와 운영 자동화를 위한 지속적인 노력을 해본 경험이 있으신 분
• 대규모 트랜잭션 처리 경험이 있으신 분 
• 고가용성의 확장 가능한 시스템을 설계하고 운영해본 경험이 있으신 분
• LLM 등 AI 기술을 활용한 프로덕트 개발 또는 PoC 경험이 있으신 분
• 오픈소스 프로젝트 기여 경험이 있으신 분
• 다국어 서비스 개발 경험이 있으신 분"
"[필수 역량] 
아래 셋 중 하나 이상의 경험을 반드시 가지고 있어야해요.
1. 보안이 중요한 서비스를 개발/운영해보신 분
2. 구독 기반의 SaaS나 플랫폼 서비스를 A to Z로 개발하고 운영해 본 경험이 있는 분
3. 경리프로그램이나 ERP 프로그램, 송금 프로그램 등을 개발해본 경험이 있는 분","[업무] 담당하실 업무에요!
• 이커머스 도메인 중심으로 돈의 흐름을 투명히 보여주는 서비스를 만듭니다.
    - 저는 이걸 경리 서비스라 부르고싶지 않습니다. 단순 돈 정리가 아닌 의사결정을 서포트하는데 목표가 있습니다.
    - 회사에서 돈의 흐름은 블랙박스입니다. 그 누구도 정확히 알 수 없죠. 알 수 없는데 어떻게 개선할 수 있을까요?
    - 투명하게 돈의 흐름을 보여주고 싶습니다. 어떤 어려움도 없이요. 오픈된 공고 특성상 모든 것을 얘기할 수는 없지만, 계획은 모두 있습니다. 실현이 필요합니다.
    - 이 과정에서 AI를 적극적으로 활용합니다.
    - 점차 도메인을 확장해 나갑니다.

• 혼자 모든 짐을 짊어지진 않을거예요. 큰 그림을 가지고 있지만 작고 가볍게 시작하니까요.
    - 그 동안 많은 상품을 기획하고 판매하며 얻은 성공의 단일 원칙은 작고 뾰족하게 시작해야 된다는 것입니다.
    - 당근마켓은 2주만에 MVP로 서비스를 시작했습니다. 일단 시작하고, 사용자의 요구에 따라 빠르게 업그레이드 했죠.
    - 100만가지 역할을 생각하지만 일단 1개의 핵심 기능으로 바로 출시 합니다.
    - MVP로 수익성, 시장성이 완전히 확인 되면 적극적으로 팀을 확장할 계획입니다. 

• 더 나아가 사업주들을 대상으로 사업을 돕는 다양한 서비스로 확장합니다.
    - 단순히 재고가 몇개 남았다는걸 알려주는 재고 프로그램은 많지만 seasonality 시장 상황 등을 반영해 Forecasting 을 해주는 곳은 없습니다. 발주 시점을 예측해주는 서비스도 충분히 우리가 침투할 수 있는 서비스 영역이예요.
    - 이미 온컴은 많은 마케팅을 ai로 자동화하고 있습니다. 마케팅 대행을 충분히 할 수 있을정도로요. 경리 플랫폼에 모인 경영자라면 누구든 서비스나 재화를 팔아야합니다. 좋은 상품을 가지고 있는데 마케팅이 어려운 분들에게는 ai로 자동화된 마케팅 서비스를 출시해 우리가 도와줄 수도 있겠죠.
    - IT 개발이 어려운 중소기업들이 거절할 수 없는 '뾰족한 가치를 지닌 서비스'들로 확장해서 기업 성장의 근간이 되어줄거예요.


[온컴은 이런 미친 성장을 함께 만들고 있습니다.]
온누리커뮤니케이션은 Amazon 1위 육아용품 ""Lansinoh"", 패스트 샴푸 전세계 1위 ""Nisim"" 등
글로벌 브랜드를 국내에서 성공적으로 전개하고,
자체 브랜드를 키워나가며 '이커머스 베스트셀러 포식자'가 되어가고 있습니다.
  • 21년 6억  22년 13억  23년 31억  24년 60억  25년 120억(예상)

그렇지만 이에 안주하지 않아요. 우리는 “이커머스 베스트셀러 포식자”가 되자는 비전 아래서
 • 3년 뒤 매출 3,000억 / 영업이익 300억 / 브랜드 연매출 +500억(총 6개 브랜드) 
 • 국내외 시장 및 아마존 카테고리 1위
 • 취업 희망, 복지 기업 1위
 • 세부적인 목표를 실현하기 위해 오늘도 무섭게 성장하고 있습니다.
이 폭발적인 성장의 중심에서, 회사의 성장과 나의 성장을 동일시하며 희열을 느낄 분을 찾습니다.


온누리커뮤니케이션을 더 자세히 알고 싶다면 ?
 • 온누리커뮤니케이션 채용 페이지
 • 온누리커뮤니케이션 공식 블로그
 • 온컴 CEO Youtube


[왜 온컴이어야 당신의 역량을 펼칠 수 있냐면요]
• 논리, 합리가 중요한 문화입니다.
    - 숫자로 얘기합니다.
    - 감, 직급, 정치 없이 투명한 데이터로 토론하고 결정합니다.
    - 신입이고 대표고 직급이 중요하지 않습니다. 공동 목표에 따른 합리적 의사결정이 더 중요합니다.
    - 합리적으로 의사결정하실거라는 믿음으로 자율성을 보장해드려요.
• 효율을 위해 투자합니다.
    - 더 많은 것을 경험하고 써봐야 더 빠르게 성장한다고 믿습니다.
    - 새로운 툴에 대한 오픈 마인드로 적극적으로 도입하고 있습니다.
    - 특히 앞으로 AI를 활용한 분석은 더욱 중요해지겠죠. 온컴은 신규 출시된 AI라면 일단 결제하고 볼 정도로 AI활용에 적극적입니다.
• 당신이 이 서비스의 리더가 됩니다.
    - 이 포지션은 단순히 주어진 요청사항을 코드로 옮기는 역할이 아닙니다.
    - 사수가 없다는 것은 반대로 모든 것을 리드할 수 있다는 것입니다. 기술 스택 선정부터 서비스 아키텍처 설계, 개발 문화 구축까지 모든 것을 주도하게 됩니다.
    - 스타트업의 가장 큰 리스트는 ‘아무도 원하지 않는 제품을 만드는 것’이죠. 그 리스크는 제가 책임질테니, ‘시장이 있을까?’ 하는 불안감 없이, 오직 어떻게 최고의 제품을 만들 것인가에 집중해주세요.
    - 리스크 없이 주도적으로 무언가를 해본다, 혹은 리스크 없는 사업을 해본다고 생각하시면 설레시나요? 그런 분이라면 정말 즐거운 시간이 될거예요!","[우대 역량] 
풀어야 할 문제와 시장에 대한 확신은 있지만, 어떤 기술로 어떻게 만들어야 할지에 대한 정답은 가지고 있지 않습니다. 
그래서 단순히 주어진 요청사항을 코드로 구현하는 개발자가 아닌, 서비스의 기술적 방향을 제시하고 책임지는 '기술 파트너'를 찾습니다. 

그렇다고 모든걸 이미 잘하는 천재나 유니콘을 찾는건 아니예요. 
새로운 것도 빠르게 배워서 적용하면 된다는 마인드를 가진 분이라면 아직 미완성형이라도 환영합니다!

• 스스로 길을 만드는 '기술적 리더십'을 갖춘 분
    - 정해진 기술 스택은 없습니다. React, Vue, Node.js, Python, Java 등 어떤 기술이든 이 문제를 푸는 데 가장 적합하다고 생각하는 이유와 근거를 제시하고, 그 선택을 주도해 나갈 수 있는 분을 원합니다.
    - 구독 기반의 SaaS나 플랫폼 서비스를 A to Z로 개발하고 운영해 본 경험이 있다면 더할 나위 없이 좋습니다. '어떻게'에 대한 정답을 스스로 찾고, 서비스의 전체 아키텍처를 설계하고 구축해 본 경험이 있는 분이라면 최고의 인재입니다. 
    - 특히 저희는 고객의 민감한 '돈'을 다룹니다. 안정성과 보안을 최우선으로 고려하며 기술적 의사결정을 할 수 있으면 좋겠습니다. 모르면 배워서 한다는 생각을 가지고 계시면 충분합니다.
• 비즈니스를 이해하고 함께 토론할 수 있는 '전략적 파트너'인 분
    - 제가 보지 못하는 기술적 리스크를 먼저 발견하고, 함께 해결책을 토론할 수 있는 분을 찾습니다.
    - '왜 이 기능을 만들어야 하는가?'에 대해 끊임없이 질문하고, 더 나은 제품을 만들기 위해 똑똑한 동료(바로 저입니다!)와 치열하게 토론하며 결과물을 만드는 과정 자체를 즐기는 분이었으면 합니다.
• 결과로 증명하는 것을 즐기는 '빠른 실행력'을 갖춘 분
    - 거대한 계획보다 작고 빠른 실행과 검증의 힘을 믿습니다. 완벽을 추구하며 주저하기보다, 빠르게 시도하고 고객의 피드백으로 개선해나가는 MVP(Minimum Viable Product) 개발 방식에 동의하는 분을 원합니다.
    - 높은 자율성 속에서 스스로 목표를 설정하고, 몰입해서 문제를 해결하며 희열을 느끼는 분이라면 최고의 기회가 될거예요!


[이력서 Tip! 꼭 읽어주세요!]

※ 이력서나 포트폴리오에 이런 내용을 담아주시면 저희가 더 깊이 이해할 수 있습니다.
• 지금까지 했던 프로젝트 중, 기술 스택 선정이나 아키텍처 설계 등 주도적으로 기술적 의사결정을 했던 경험과 그 이유를 설명해주세요.
• 가장 의미 있었던 '0에서 1을 만들어 본' 경험에 대해 이야기해주세요.


[근무조건]
• 정규직 (수습 3개월 계약, 처우 동일)"
"• Java & Spring 기반 웹 서비스 개발 경력 5년 이상
• RESTfull API 설계 및 개발 경험
• Oracle/MySQL 등 DB 설계 및 SQL 개발 역량
• NoSQL(Redis) 기반 설계 및 개발 경험
• 클라우드 환경 및 Kubernetes(K8S) 기반 서비스 개발 경험
• 서비스 아키텍처 설계 및 프로젝트 리딩 경험","• 상품 전시 및 큐레이션 시스템 개발
• 리뷰 및 평점 관리 시스템 개발
• Back-end 연동을 위한 interface 시스템 개발
• 플랫폼 안정성 향상 및 운영 효율화를 위한 개선 활동 업무
  * 장애 대응 및 기술적 리스크 분석/개선
  * 성능 모니터링 및 시스템 구조 개선","• Android/iOS 앱 생태계에 대한 이해 보유
• 대용량 트래픽 환경에서의 서비스 개발 경험
• 메시징 미들웨어 (RabbitMQ, Kafka) 를 활용한 개발 경험
• 지속적인 아키텍처 개선 및 리팩토링 경험
• AI 도구 활용을 통한 생산성 향상 경험
• 비즈니스 영어 커뮤니케이션 가능자"
"• Java & Spring 기반 웹 서비스 개발 경력 5년 이상
• RESTfull API 설계 및 개발 경험
• Oracle/MySQL 등 DB 설계 및 SQL 개발 역량
• NoSQL(Redis) 기반 설계 및 개발 경험
• 클라우드 환경 및 Kubernetes(K8S) 기반 서비스 개발 경험
• 서비스 아키텍처 설계 및 프로젝트 리딩 경험","• 게임/앱 상품 관리 시스템 개발 및 운영
  * 개발자 포털(Developer Center)의 Front-end/Back-end 개발
  * CMS 기반 앱 운영 플랫폼 개발
• Android/iOS/Windows 앱 바이너리 분석 및 대응 체계 개발
• 개발자 포털의 개발 및 유지보수
• 플랫폼 안정성 향상 및 운영 효율화를 위한 개선 활동 업무
  * 장애 대응 및 기술적 리스크 분석/개선
  * 성능 모니터링 및 시스템 구조 개선","• 개발자콘솔 또는 유사한 개발자 에코시스템 개발 경험
• 모바일(Android, iOS) 개발 경험
• 대용량 트래픽 환경에서의 서비스 개발 경험
• 메시징 미들웨어 (RabbitMQ, Kafka) 를 활용한 개발 경험
• 지속적인 아키텍처 개선 및 리팩토링 경험
• AI 도구 활용을 통한 생산성 향상 경험
• 비즈니스 영어 커뮤니케이션 가능자"
"• Java/Kotlin 및 Spring Boot기반 웹 어플리케이션 개발 및 상용화 경험 5년 이상인 분
• AWS 클라우드 및 K8S 기반 서비스 개발 경험 3년 이상인 분
• SQL 및 NoSQL 계열 데이터 베이스 활용 경험 3년 이상인 분","• 차량 구독 서비스 기능에 대한 기술 검토와 Backend 설계 / 개발 / 운영
• 차량 데이터 및 고객 데이터를 기반의 Open API 구조 설계 및 개발
• 유연하고 확장 가능한 Service Backend 시스템 구축
• 프로젝트 스프린트 경험
• 동료 개발자의 성장을 지원·멘토링하고, 기술적 방향성을 제시하는 Tech Lead 역할 수행
• 코드 리뷰를 통해 문제점 파악 및 개선 제안 경험
• 서비스 모니터링을 통해 성능과 구조 개선을 추구
• 차량 구독 서비스를 포함한 통합 모빌리티 플랫폼 구축에 기술적으로 기여","• 개발 프로젝트 리드 또는 리드한 서비스를 직접 운영해 본 경험을 보유하신 분
• 모빌리티 및 구독 서비스 기업 또는 그와 유사한 서비스 관련 업무 경험이 있는 분
• Kafka 기반 Micro service 서비스 개발 경험
• Gitlab, argoCD 등을 활용한 CI/CD 자동화 경험"
"- 5년 ~ 최대 경력 8년
- Oracle 및 기타 DB 엔지니어 및 DBA 경력 필수
- 고객사 및 동료와 원활한 커뮤니케이션이 가능하신 분
- DBMS 아키텍처에 관심이 많은 분","- Postgresql 데이터베이스 설치 / 운영
- Postgresql Replication 및 HA 구성
- Postgresql 백업 / 복구","- 이기종 DBMS 마이그레이션 경험
- 대용량 데이터 마이그레이션 경험
- SQL 튜닝 능력 및 경험
- 쉘 스크립트 작성"
"• C# .NET 기반 개발 경험 3년 이상
• 산업 자동화, 물류 시스템, 제어 소프트웨어 중 하나 이상 경험
• C, C++ 또는 Java 기반 개발 경험자도 지원 가능
• 하드웨어 통신 (PLC, Sensor, I/O 등) 시스템 개발 경험
• 실제 운영 환경에서 디버깅 및 성능 최적화 경험","• C# 기반 AMHS 제어 시스템 설계 및 아키텍처 개발
• 하드웨어-소프트웨어 간 실시간 인터페이스 테스트 및 검증
• 반도체 공정 시뮬레이션 및 시스템 성능 테스트
• 자동화 시스템의 기능 안정화 및 유지보수","• 반도체, 물류, 제조 자동화 시스템 경험
• 시스템 매뉴얼, 기능 사양서 문서 작성 경험
• MQTT, Socket 통신 경험
• Node.js 기반 연동 백엔드 이해
• Git 등 협업툴 사용 경험"
"• Backend 개발 경력 최소 6년 이상
• Java, Spring framework 기반의 분산 시스템을 경험하신 분
• 문제를 해결하고자 하는 의지가 강하고, 실제 해결하실 수 있는 분
• 고객 서비스 개발, 비지니스 개발에 흥미가 있으신 분
• 개발자로서 발전하고 싶은 욕구가 강하신 분","• 쿠팡페이는 쿠팡을 온라인 결제가 가장 편리한 사이트로 만드는 것을 목표로 합니다.
• 쿠팡페이가 제공하는 다양한 서비스를 담당하는 Product Engineering팀의 개발자로서, 독보적인 핀테크 서비스를 개발하는 데 참여하고, 코드 리뷰를 통해 좋은 품질의 코드로 보다 고도화된 결제 서비스를 제공하는 역할을 담당합니다.
• 국내 최초 원터치 결제 시스템인 ""쿠페이""를 안정적으로 제공하고 고도화하는 역할 또한 Product Engineering 팀 개발자의 역할 중 하나입니다.
• 천 만 명의 고객들이 보다 향상된 결제 서비스를 이용할 수 있도록 문제를 함께 해결하고, 서비스를 개발합니다.
• 또한 회계팀, 자금팀, fintech 개발팀과 협업하여 fintech 백오피스를 개발/운영하는 등 고객에게 보다 빠르고 편리한 결제 경험을 선사하기 위해, 다양한 유관 부서와의 협업에 주도적으로 참여합니다.","• JPA, MSA에 대한 이해도가 높으신 분
• Payment 도메인에서 근무 경험이 있는 분
• 장애 관리 및 모니터링 기능이 있는 대규모 운영 시스템 경험이 있는 분
• 애자일 소프트웨어 방법론이 익숙하신 분
• 대용량 데이터의 대사 작업이 익숙하신 분"
"[자격 요건]
• 5년 이상 또는 그에 준하는 C++ 게임 서버 개발 경험이 있으신 분
• 멀티플레이 게임서버 개발/운영 경험이 있으신 분
• 네트워크, 데이터베이스(postgreSQL) 분야의 기초가 튼튼한 분
• C++ 을 사용하여 신규 게임 서버 개발 및 유지/보수가 가능하신 분
• 보안 관련 지식을 숙지하신 분
• AWS 등 클라우드 기반 배포 pipeline 설계 및 운영 경험이 있으신 분
• 요구사항에 대한 의도를 파악하고, 요구사항을 구현하기 위한 적합한 기술적인 방식을 제안하는 적극성과 커뮤니케이션 역량","[주요 업무]
• 기존 Node.js, C# 포톤 서버를 C++ 서버로 포팅
• 신규  게임 모드/소셜 콘텐츠 개발 및 유지 보수
• 라이브 서비스 발생 이슈 대응 및 안전성 유지
• 리팩토링을 통한 게임 최적화","[우대 사항]
• AWS 활용에 능숙한 분
• K8s, 도커 활용에 능숙한 분"
